,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
20,31729.772797527046,73.04239874477359,2.4518449706980188,0.03368589472354043,2.7433415722863295,1.879575448609814,0.6805636164499778,31898.29938271605,71.06519613883437,2.6247320509721592,0.03701549829356565,2.766286916397166,1.8881400296383728,0.6802921468481142,8600_8520,6.0,4.0,2.0,21,2,21,1,21,1,21,22,1,20,22,417,FL-417 N,N,Freeway,0.602356736792,0.00972193164424,8600,8520,E,2,65863,4,417,45500,65863,70,0,70.0,0.00972193164424
21,31898.29938271605,71.06519613883437,2.6247320509721592,0.03701549829356565,2.766286916397166,1.8881400296383728,0.6802921468481142,31191.521604938276,69.02736114764629,3.1483181086024263,0.045772002973840265,2.7470069928026546,1.9671550955589336,0.7077925827373835,8520_8502,8.0,6.0,2.0,22,2,22,1,22,1,22,23,1,21,23,417,FL-417 N,N,Freeway,0.536463457053,0.00865953051307,8520,8502,E,2,65863,4,417,45500,65863,70,0,70.0,0.00865953051307
22,27682.752921535888,72.04656117367097,2.404888943314417,0.03361048211733855,2.371347046664628,1.6390585519079943,0.6628905154095919,31244.047308319736,68.77140496614325,2.500155672271688,0.03639637341191849,1.8949803832461132,1.2494403539888546,0.6597723910002161,8480_11010,12.0,7.0,5.0,23,2,23,1,23,1,23,24,1,22,24,417,FL-417 N,N,Freeway,0.982668303486,0.016051321075,8480,11010,E,2,65863,4,417,47407,65863,70,0,70.0,0.016051321075
23,31191.521604938276,69.02736114764629,3.1483181086024263,0.045772002973840265,2.7470069928026546,1.9671550955589336,0.7077925827373835,52492.283931357255,75.17990780205176,2.712057491880409,0.03633380279578846,3.9674025611993216,2.94106889385256,0.7324959595199575,8502_6701,6.0,6.0,0.0,24,2,24,1,24,1,24,25,1,23,25,417,FL-417 N,N,Freeway,1.00889997689,0.016254247577,8502,6701,E,2,65863,4,417,45500,65863,70,0,70.0,0.016254247577
24,52492.283931357255,75.17990780205176,2.712057491880409,0.03633380279578846,3.9674025611993216,2.94106889385256,0.7324959595199575,30732.21826625387,73.13610495276585,2.707806938262946,0.0371983579968857,3.8544553937857993,2.784567944280416,0.7162384907162204,6701_5900,4.0,1.0,3.0,25,2,25,1,25,1,25,26,1,24,26,417,FL-417 N,N,Freeway,0.619111197154,0.009422246094889999,6701,5900,E,2,65863,4,417,45500,65863,70,0,70.0,0.009422246094889999
25,34293.616692426585,69.0044033166222,3.332025920440785,0.0488834535689883,2.9945209352758853,2.4967370945501273,0.7977003149785985,34189.15905511811,70.19645113824743,3.3282073306361317,0.047898425223048484,3.2773767431936136,2.470194649931102,0.7400932851243731,8598_8531,16.0,10.0,6.0,26,2,26,1,26,1,26,27,1,25,27,417,FL-417 N,N,Freeway,0.517090858241,0.008198573946200001,8598,8531,E,2,65863,4,417,82000,65863,70,0,70.0,0.008198573946200001
26,31162.67438271605,68.57730812216866,2.5658868374779806,0.03756267046455144,2.716634965584585,1.998295631030488,0.7261914059625625,34293.616692426585,69.0044033166222,3.332025920440785,0.0488834535689883,2.9945209352758853,2.4967370945501273,0.7977003149785985,8512_8598,13.0,9.0,4.0,27,2,27,1,27,1,27,28,1,26,28,417,FL-417 N,N,Freeway,0.7037703588070001,0.011183447612600001,8512,8598,S,3,65863,4,15,35500,65863,70,0,70.0,0.011183447612600001
27,30732.21826625387,73.13610495276585,2.707806938262946,0.0371983579968857,3.8544553937857993,2.784567944280416,0.7162384907162204,31162.67438271605,68.57730812216866,2.5658868374779806,0.03756267046455144,2.716634965584585,1.998295631030488,0.7261914059625625,5900_8512,4.0,2.0,2.0,28,2,28,1,28,1,28,29,1,27,29,417,FL-417 N,N,Freeway,0.349027857505,0.00533092606564,5900,8512,E,2,65863,4,417,45500,65863,70,0,70.0,0.00533092606564
28,36468.14664586583,70.40259627910727,4.059734550170028,0.0584124125755949,4.079384914247348,3.1904437206371306,0.7577143263679365,37628.90609555189,64.76066933762452,5.04503054373022,0.07859647420016892,3.347426574188858,2.5859247926082194,0.7519433451350792,8540_8538,6.0,4.0,2.0,29,2,29,1,29,1,29,30,1,28,30,417,FL-417 N,N,Freeway,0.346143731086,0.00503746932208,8540,8538,N,2,65863,4,417,82000,65863,70,66,70.0,0.00503746932208
29,37628.90609555189,64.76066933762452,5.04503054373022,0.07859647420016892,3.347426574188858,2.5859247926082194,0.7519433451350792,37392.385802469136,71.83284552835883,3.9063306881166064,0.05505475014885906,5.460825119745814,4.120564153185152,0.7444215676769607,8538_6642,16.0,11.0,5.0,30,2,30,1,30,1,30,31,1,29,31,417,FL-417 N,N,Freeway,0.587651023412,0.00855207347379,8538,6642,N,2,65863,4,417,82000,65863,70,52,70.0,0.00855207347379
30,35730.918209876545,67.20701847991931,4.8016386935340485,0.07220193211084304,4.313008277520281,3.4405199325821143,0.7760821434288762,36468.14664586583,70.40259627910727,4.059734550170028,0.0584124125755949,4.079384914247348,3.1904437206371306,0.7577143263679365,8533_8540,30.0,24.0,6.0,31,2,31,1,31,1,31,32,1,30,32,417,FL-417 N,N,Freeway,0.69521370128,0.0101795247672,8533,8540,N,2,65863,4,417,82000,65863,70,89,70.0,0.0101795247672
