,period,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
34,2,9845.53319057816,66.82304516523166,2.484317901192191,0.03871530496943817,5.6756005861610825,1.1877545495270287,0.2015494504526787,9883.309012875536,65.78576803496172,2.8002362430272885,0.04571797103415029,5.076094276397378,1.2318967960189218,0.21530023029949144,9178_7997,6.0,6.0,0.0,9,2,9,1,9,1,9,10,1,8,10,417,FL-417 N,N,Freeway,0.34450706898999994,0.005657805025300001,9178,7997,E,2,45451,4,417,49500,45451,70,0,70.0,0.005657805025300001
35,3,17171.94871794872,68.69634419614673,1.6179728570980303,0.023784062760459725,4.247921218443753,0.7846169437843278,0.1830073098703381,17201.55032119914,67.50979342840897,1.7625629051899347,0.026379411813297414,3.8341844181910463,0.6940426695069424,0.17683004824378795,9178_7997,6.0,4.0,2.0,9,2,9,1,9,1,9,10,1,8,10,417,FL-417 N,N,Freeway,0.34450706898999994,0.005657805025300001,9178,7997,E,2,45451,4,417,49500,45451,70,0,70.0,0.005657805025300001
36,0,9243.438972162741,64.17193302349558,4.436280808433082,0.069274817710392,2.0921737272431087,1.3022463163794058,0.6236636569285717,8004.984881209503,65.85010477934615,4.3746283806171755,0.06710451349400126,1.7110636350173052,1.1074219405814854,0.6501575182863664,8017_6167,4.0,4.0,0.0,10,2,10,1,10,1,10,11,1,9,11,417,FL-417 N,N,Freeway,1.04800554459,0.017008943702,8017,6167,S,2,45451,4,91,95000,45451,70,0,70.0,0.017008943702
37,1,6792.144396551724,58.983330966431524,2.5400390041781,0.043286211634954205,5.1773086527006695,1.040094331624084,0.20053886079467406,6171.6594360086765,62.766094212461425,1.5981117353729553,0.02569429660781074,4.784207203344627,1.0371580601828991,0.21365326976244525,8017_6167,3.0,3.0,0.0,10,2,10,1,10,1,10,11,1,9,11,417,FL-417 N,N,Freeway,1.04800554459,0.017008943702,8017,6167,S,2,45451,4,91,95000,45451,70,0,70.0,0.017008943702
38,2,10757.817596566523,53.588437265941316,3.3962971974969727,0.06469533435733316,8.226251528066419,1.8107937526807685,0.21691644674031807,9174.273913043478,59.77208280626154,2.4839644817106663,0.04358339383060885,7.254956476109101,1.5623618578277894,0.20793798968739294,8017_6167,12.0,10.0,2.0,10,2,10,1,10,1,10,11,1,9,11,417,FL-417 N,N,Freeway,1.04800554459,0.017008943702,8017,6167,S,2,45451,4,91,95000,45451,70,0,70.0,0.017008943702
39,3,18578.982832618025,57.66340539281766,2.5175586709788464,0.043919883889409,6.3683877166790035,1.1627858141749303,0.18180853722740264,15916.845652173914,61.51588587445426,1.6535460327387643,0.027065314427381196,5.540954230119288,1.0274281655838284,0.18395247321343489,8017_6167,9.0,8.0,1.0,10,2,10,1,10,1,10,11,1,9,11,417,FL-417 N,N,Freeway,1.04800554459,0.017008943702,8017,6167,S,2,45451,4,91,95000,45451,70,0,70.0,0.017008943702
40,0,9293.935760171304,67.42458491170521,2.5052167672964103,0.037226322954423983,1.299843051508471,0.8273255290885448,0.642116128450797,7911.501066098081,69.09727708297945,2.4184591799997874,0.035106658146145615,1.7384458555769315,1.1513284419168741,0.6639232916898042,7997_8466,2.0,1.0,1.0,11,2,11,1,11,1,11,12,1,10,12,417,FL-417 N,N,Freeway,0.8013759665989999,0.0131463405758,7997,8466,E,2,45451,4,417,49500,45451,70,0,70.0,0.0131463405758
41,1,7027.049783549784,68.72154972731647,1.6393333705273432,0.024229830632113054,3.683020484380489,0.7086130409545591,0.18824121573526176,7314.139784946236,66.83912264260664,2.0485123885377248,0.03269031006589463,6.403284743596023,1.5184710168512323,0.22206174998010936,7997_8466,2.0,2.0,0.0,11,2,11,1,11,1,11,12,1,10,12,417,FL-417 N,N,Freeway,0.8013759665989999,0.0131463405758,7997,8466,E,2,45451,4,417,49500,45451,70,0,70.0,0.0131463405758
42,2,9883.309012875536,65.78576803496172,2.8002362430272885,0.04571797103415029,5.076094276397378,1.2318967960189218,0.21530023029949144,8823.289079229122,64.07475951849389,4.5094412139975235,0.07982168802453042,8.17711496523431,2.3520904458517182,0.25951358791525125,7997_8466,2.0,2.0,0.0,11,2,11,1,11,1,11,12,1,10,12,417,FL-417 N,N,Freeway,0.8013759665989999,0.0131463405758,7997,8466,E,2,45451,4,417,49500,45451,70,0,70.0,0.0131463405758
43,3,17201.55032119914,67.50979342840897,1.7625629051899347,0.026379411813297414,3.8341844181910463,0.6940426695069424,0.17683004824378795,15884.850427350428,67.0843368329686,1.898194630353496,0.02871022198033605,5.906364886760043,1.099217230363413,0.1822256777419143,7997_8466,5.0,3.0,2.0,11,2,11,1,11,1,11,12,1,10,12,417,FL-417 N,N,Freeway,0.8013759665989999,0.0131463405758,7997,8466,E,2,45451,4,417,49500,45451,70,0,70.0,0.0131463405758
44,0,8004.984881209503,65.85010477934615,4.3746283806171755,0.06710451349400126,1.7110636350173052,1.1074219405814854,0.6501575182863664,9279.151385927506,69.28000611047705,2.590361952491273,0.03756120212680111,1.3802323988215883,0.8775014611579509,0.6392610076965819,6167_9178,0.0,0.0,0.0,12,2,12,1,12,1,12,13,1,11,13,417,FL-417 N,N,Freeway,0.547156182605,0.00898604631428,6167,9178,E,2,45451,4,417,49500,45451,70,0,70.0,0.00898604631428
45,1,6171.6594360086765,62.766094212461425,1.5981117353729553,0.02569429660781074,4.784207203344627,1.0371580601828991,0.21365326976244525,6997.8476394849795,69.51326038898782,1.3731669530016393,0.019940484785467304,3.876994495437867,0.7786653092390763,0.20163709231325916,6167_9178,1.0,0.0,1.0,12,2,12,1,12,1,12,13,1,11,13,417,FL-417 N,N,Freeway,0.547156182605,0.00898604631428,6167,9178,E,2,45451,4,417,49500,45451,70,0,70.0,0.00898604631428
