,day,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
28,0,39261.307692307695,68.2013408748345,4.254113032298099,0.06279651055132157,3.74643398148513,2.664422615508752,0.7060493788350638,44234.17021276597,63.697992248902075,4.651421949560432,0.07386251900540576,4.4817181504619805,3.7366021637064826,0.8080931381564637,8287_8107,1.0,1.0,0.0,5,2,5,1,5,1,5,6,1,4,6,417,FL-417 N,N,Freeway,0.662737377642,0.0104717333826,8287,8107,S,3,45451,6,0,76000,45451,70,0,70.0,0.0104717333826
29,1,38117.87096774193,68.29993635011408,4.357347466444913,0.06414571477493834,3.619615424588964,2.7069487865287103,0.7393969656316061,43043.38541666666,63.609363025914746,5.1196256587592135,0.08133772978489177,4.42412152123836,3.9096040084218937,0.8580232582225218,8287_8107,4.0,1.0,3.0,5,2,5,1,5,1,5,6,1,4,6,417,FL-417 N,N,Freeway,0.662737377642,0.0104717333826,8287,8107,S,3,45451,6,0,76000,45451,70,0,70.0,0.0104717333826
30,2,38800.50537634409,68.05597135798125,4.3673759519920194,0.06449013634586734,3.743737497004143,2.669021806480376,0.7098024021986898,44351.768421052635,63.237086331533014,5.6589308043078805,0.09032397631086304,4.673216963476607,4.152105219744471,0.8676857632425401,8287_8107,5.0,2.0,3.0,5,2,5,1,5,1,5,6,1,4,6,417,FL-417 N,N,Freeway,0.662737377642,0.0104717333826,8287,8107,S,3,45451,6,0,76000,45451,70,0,70.0,0.0104717333826
31,3,40129.01149425288,67.90013911615286,4.673153504058655,0.06908706263976302,3.8938981049484567,2.7908014861984323,0.7144036186659933,45313.9,62.98899603447028,6.273442991033131,0.10045245967497256,4.890638164002132,4.492181573329809,0.8965500193429975,8287_8107,2.0,2.0,0.0,5,2,5,1,5,1,5,6,1,4,6,417,FL-417 N,N,Freeway,0.662737377642,0.0104717333826,8287,8107,S,3,45451,6,0,76000,45451,70,0,70.0,0.0104717333826
32,4,44055.62222222221,67.48546079905994,4.605548094534559,0.06863693870303188,4.2131739223502285,2.7381258375454296,0.6473902492174792,49288.287234042546,63.2646024640825,4.737709561258441,0.07571764908647688,4.992281815472548,3.735339548465941,0.7323361132577919,8287_8107,3.0,2.0,1.0,5,2,5,1,5,1,5,6,1,4,6,417,FL-417 N,N,Freeway,0.662737377642,0.0104717333826,8287,8107,S,3,45451,6,0,76000,45451,70,0,70.0,0.0104717333826
33,5,41675.556818181816,68.70029200559848,3.2527765981405783,0.04750963612995915,3.5199029700173865,2.1488232509445857,0.6100141620184195,45472.358695652176,64.49952829397172,2.1886807804745727,0.0340431390489208,3.8953917904870186,2.3218666913854014,0.5950791493550563,8287_8107,2.0,2.0,0.0,5,2,5,1,5,1,5,6,1,4,6,417,FL-417 N,N,Freeway,0.662737377642,0.0104717333826,8287,8107,S,3,45451,6,0,76000,45451,70,0,70.0,0.0104717333826
34,6,39633.25,68.98052514987279,3.406956929989899,0.04963104112094975,3.261230897214859,2.2860609548146007,0.7001452193541008,42869.47126436781,64.806146796067,2.515901429465885,0.038950541031171064,3.5668362634137454,2.4959085025004684,0.6983486321719129,8287_8107,3.0,2.0,1.0,5,2,5,1,5,1,5,6,1,4,6,417,FL-417 N,N,Freeway,0.662737377642,0.0104717333826,8287,8107,S,3,45451,6,0,76000,45451,70,0,70.0,0.0104717333826
35,0,42265.62365591398,65.77269297791732,4.335529180270714,0.0666576035931696,4.472152982343424,2.9758976731389457,0.6689692692232497,44342.5376344086,60.587026344644755,5.4300479390902,0.08970628939512437,4.419683929588246,2.720308888224793,0.6154512068377314,8280_8017,0.0,0.0,0.0,6,2,6,1,6,1,6,7,1,5,7,417,FL-417 N,N,Freeway,0.48831276454000005,0.00790947695148,8280,8017,E,2,45451,4,417,49278,45451,70,0,70.0,0.00790947695148
36,1,40818.03157894737,65.72688277316422,5.491306983292979,0.08716013880713322,4.298826262260996,2.8755148651176663,0.6716839302027389,43054.020833333336,60.616772270953284,5.208641147192735,0.08603782998236333,4.266467839177353,2.6258883980806664,0.6169693252154096,8280_8017,0.0,0.0,0.0,6,2,6,1,6,1,6,7,1,5,7,417,FL-417 N,N,Freeway,0.48831276454000005,0.00790947695148,8280,8017,E,2,45451,4,417,49278,45451,70,0,70.0,0.00790947695148
37,2,41085.904255319154,65.4792558025105,4.429503828838767,0.06851424401255182,4.527251636173042,3.1249593047672404,0.6896765147639227,44250.515789473684,60.313611723617846,5.344539640846608,0.08876601056294957,4.41334722952317,2.7015248061622423,0.6132051172058487,8280_8017,2.0,2.0,0.0,6,2,6,1,6,1,6,7,1,5,7,417,FL-417 N,N,Freeway,0.48831276454000005,0.00790947695148,8280,8017,E,2,45451,4,417,49278,45451,70,0,70.0,0.00790947695148
