,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
30,6,618.4301675977654,63.967162712185704,2.107695894623744,0.033093182608439534,1.2743460279697458,0.3284793121889915,0.261993114743244,624.6779661016949,65.63008658792556,1.7510556706052969,0.026677678244577688,1.268245293104051,0.3282685544470034,0.26372789530573365,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
31,7,882.9832402234638,63.93101667183843,1.8392607544266275,0.02887837148866098,1.6948619979765662,0.3582229134936009,0.21351917047259028,883.8757062146892,66.1019782634189,1.4389560679623732,0.021867402036336726,1.8293256022069573,0.4037204490900654,0.2203862368198703,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
32,8,1210.3743016759774,63.2593396310464,1.5646424631988674,0.024857742696057637,2.162457301033732,0.4093722975332389,0.1933831005395266,1210.3050847457628,65.72415114267751,1.1622381620140791,0.017741031086958358,2.5138545636897796,0.4731858883664506,0.19355496975677133,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
33,9,1693.8659217877093,61.72808326342495,1.5482420923978597,0.025366176940666414,2.9768061361305427,0.5691203652697336,0.19051117537427667,1695.9435028248588,64.94870702900359,1.027904683759413,0.015920208125329974,3.591043811806525,0.6860304467538101,0.19106684060682025,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
34,10,2504.2011173184355,58.57713404352887,2.19040737043227,0.038787555474427436,4.637764148179448,0.9755112783209235,0.19152101018054105,2510.694915254237,63.249518756510284,1.3312706995220325,0.022257740638662454,5.623651638694012,0.9568534606058308,0.15917705559962825,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
35,11,2888.5754189944128,56.39151732350787,2.551840904742793,0.05007777622554819,5.937344351025717,1.1001755552679455,0.15677786874528676,2898.4745762711864,60.48915184870928,2.7036134074152285,0.05508888045848832,7.651230601371844,1.5300994745540322,0.15024411685842093,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
36,12,2648.178770949721,58.88330198752386,2.3089965101952465,0.04188049656950744,4.979001754336159,0.9217330669655832,0.15925249975565428,2674.2429378531074,61.98713706256082,2.615921290649418,0.05036626379589067,6.657980312217603,1.443545939869403,0.16392635119725515,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
37,13,2539.921787709497,60.4241918186848,1.5053898553228495,0.025428102185064756,4.50525469263719,0.5259594109037113,0.11556820296877995,2569.3898305084745,63.94912253471571,1.1888626507054247,0.019488408805951075,5.589049619558095,0.6122373059889841,0.10412907292549428,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
38,14,2622.558659217877,60.5694780457666,1.7099875244943654,0.029116053564561917,4.729367548561351,0.6697068424529067,0.13157437625688204,2654.5988700564967,63.88754378860305,1.4406947128763603,0.024231360424698388,5.791064438804552,0.7654099638023489,0.1205166670978265,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
39,15,2811.245810055866,60.09019895715218,1.9304588016924276,0.03399697300947053,5.184028008056084,0.7331430423283832,0.13248099443086964,2846.2429378531074,63.11971655149621,1.8130005958564224,0.03272833474673995,6.474828130124742,0.9419091972113722,0.1251104735900865,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
40,16,2972.541899441341,58.92211624314341,2.634168038902041,0.049678116138948035,5.8847661341421285,1.0808276492809228,0.1580582490547463,2987.858757062147,61.273754964432925,2.7802244668049725,0.05739884850101885,7.652784291979213,1.5563950352276867,0.15520660287204144,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
41,17,3032.1005586592173,57.152143620273044,2.7809335569632663,0.055119888909625665,6.555788602326764,1.2764464278270276,0.16741345313613107,3031.9774011299437,58.725791730240886,3.0398501629404433,0.06711246618182988,8.887238334484096,1.7700133509945646,0.15574075355276046,7010_6916,1.0,1.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
42,18,2671.7988826815645,58.40038887763749,2.630231125458548,0.04976627566128048,5.452649856154988,1.063647973665107,0.1714021573431686,2688.19209039548,60.520044253542366,2.957982057594984,0.0599244762983043,7.020570028597334,1.6517173046052849,0.18659913861548771,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
43,19,2241.754189944134,59.789373529192225,1.9643879841692504,0.03375891800708191,4.335492873947072,0.7075045030205951,0.15480799984172314,2265.141242937853,62.66932986975359,1.5978162509262834,0.026851373658329705,4.956430937410222,0.8028156877798004,0.14641232816254734,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
44,20,1853.2625698324027,60.64815529155328,1.8795292853706085,0.03116120751930572,3.6974727017999327,0.5706045374985601,0.15326277135209546,1878.276836158192,62.89083020714379,1.4170621518831985,0.022696314249336318,3.982851799800952,0.5601191377706847,0.13949091358219076,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
45,21,1675.1452513966478,61.07761800357426,1.924356749782887,0.032011853640961964,3.4328095233599196,0.5539341243893615,0.16306335692272464,1688.1751412429376,63.080178380766895,1.4251832045288015,0.02280630303093877,3.597836499484334,0.5136398923434707,0.14264003255427854,7010_6916,2.0,2.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
46,22,1538.0,61.65001718310872,1.845789945182388,0.030134328178875108,3.1409691252077376,0.5123003827314093,0.16896374832718866,1560.666666666667,63.33924171838483,1.3734310454929004,0.021755706029916333,3.2875315893912878,0.4800616467362901,0.15284602474845452,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
47,23,1332.5530726256986,62.751325162297036,2.0614395633595084,0.033414434558839384,2.7375565594044478,0.5432263376467935,0.19141315083552565,1350.1016949152545,64.00703323712973,1.7403177475608929,0.028679946530600013,2.9107145774989456,0.6488367170059223,0.18477282821969,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
48,0,939.9209039548024,65.01308726061548,1.7805218008006365,0.027423687132373708,1.9672744941812728,0.5297217381913029,0.2685971940332239,960.6815642458099,74.23504552038067,1.471739725972227,0.01988377230744532,2.7634181667701223,0.7750209992203249,0.27953082869973583,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
49,1,479.53107344632764,66.45323810873822,2.272725298891757,0.03423865194242378,0.950837401215315,0.3281263404494837,0.3484574653498754,488.8268156424581,74.70186197952968,1.9122474934576748,0.02563529385319911,1.2436743835621975,0.4302378307746993,0.3464962816481427,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
50,2,288.83428571428567,67.10253995739714,2.6241707673551637,0.03913888089711241,0.5677734738806173,0.23941029060589375,0.4353306307959819,295.50847457627117,74.53178694735898,2.507601000597521,0.033665600168584955,0.7196558842392176,0.2887542477548334,0.4092846854992079,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
51,3,233.28813559322037,66.30655775094333,2.73383883916023,0.04127515768915261,0.5190902736100473,0.2323987834185595,0.4687114505249937,237.5139664804469,73.48545730986376,2.5701158849127763,0.035020772554214964,0.6690938044988323,0.2851674132144844,0.4437174584380938,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
