,day,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
20,6,27977.060975609755,70.35151716176382,2.515269836909761,0.035812537187742965,1.4928271474945156,1.0516665803488028,0.7064223745419833,28145.22988505747,67.7967731846101,2.23900701395014,0.033109554472267134,1.9247395673039136,1.24851920024252,0.6474682065190137,6068_8208,0.5,0.0,0.5,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,28061.145430333614,69.07414517318696,2.3771384254299504,0.034461045830005047,1.7087833573992146,1.1500928902956615,0.6769452905304985,10.242141173576465,-1.376502410376507,1
21,0,61121.617021276594,71.23496583407092,3.7279631768102455,0.0526875332331403,4.34088963408496,3.679802640498514,0.8322936440629357,61967.414893617024,67.61434427614275,3.3594215409398185,0.04997713135960147,4.270820984678991,3.652931366392768,0.8415079841906992,6218_6235,1.0,1.0,0.0,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,61544.51595744681,69.42465505510683,3.543692358875032,0.05133233229637088,4.305855309381975,3.666367003445641,0.8369008141268175,11.027516028657619,-2.118981580722923,2
22,1,63327.72631578947,70.7117501273066,4.127598263189234,0.05889556926891325,4.513393715734897,3.9130243305461385,0.8510993280191654,63833.96875,67.16261040796847,3.597690992283116,0.053921746817943435,4.4093814081269,3.7893802083677137,0.8478686690783982,6218_6235,0.0,0.0,0.0,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,63580.84753289474,68.93718026763753,3.862644627736175,0.056408658043428345,4.4613875619308985,3.851202269456926,0.8494839985487819,11.06006756455674,-2.118981580722923,2
23,2,63848.063157894736,70.72834592284973,3.926931405815977,0.05601990933423438,4.602577106851824,3.814497148006772,0.8173580491845793,64713.54736842105,67.12455737230526,3.4867021542821437,0.05233222356910517,4.5186635230381125,3.77049119881098,0.8233931398027095,6218_6235,0.0,0.0,0.0,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,64280.80526315789,68.9264516475775,3.7068167800490603,0.05417606645166978,4.560620314944968,3.792494173408876,0.8203755944936444,11.07101634720232,-2.118981580722923,2
24,3,64521.63333333332,70.78260692750193,3.957654208644766,0.05650600651125527,4.639652420635486,3.8167779262450647,0.8052924244614404,65122.555555555555,67.15772816553283,3.6718749874813534,0.055244469163091635,4.58855282779926,3.8320537494780376,0.8185697826712646,6218_6235,0.5,0.5,0.0,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,64822.09444444443,68.97016754651739,3.81476459806306,0.05587523783717345,4.614102624217374,3.824415837861551,0.8119311035663526,11.079401787874305,-2.118981580722923,2
25,4,65529.86170212767,71.35732385970731,2.7878810456233225,0.03927797114222202,4.5068560970915685,3.217446710855038,0.7076019744860693,66063.81914893616,67.64257238403546,2.6521269920766155,0.03939407141186326,4.460051989093972,3.2673498927046114,0.7250035109489383,6218_6235,0.5,0.0,0.5,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,65796.84042553192,69.49994812187138,2.720004018849969,0.03933602127704264,4.48345404309277,3.242398301779825,0.7163027427175038,11.094327098311457,-2.118981580722923,2
26,5,48991.130434782615,73.0011038138945,2.174550551485882,0.029936409104575838,3.01899153357772,1.5731102448740617,0.5090566366458887,49633.489130434784,69.2580386657592,2.0697723237822863,0.03003739418445693,2.954437550663607,1.6156877994335133,0.5360317606678925,6218_6235,0.0,0.0,0.0,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,49312.3097826087,71.12957123982684,2.122161437634084,0.029986901644516385,2.9867145421206636,1.5943990221537874,0.5225441986568906,10.805929020193895,-2.118981580722923,2
27,6,41256.6091954023,73.3712657426565,2.2787064734207294,0.03128147219444976,2.427992631696241,1.3510180101031806,0.5526930500718201,41981.06896551724,69.69296919756832,2.1176887175882597,0.03051679590221085,2.3643402340046613,1.3697252620383116,0.5783278512294407,6218_6235,1.0,0.5,0.5,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,41618.83908045977,71.53211747011241,2.1981975955044946,0.030899134048330307,2.396166432850451,1.360371636070746,0.5655104506506304,10.636308206249128,-2.118981580722923,2
28,0,34245.021276595755,68.33276897957406,3.1671831181775474,0.04668889204460608,5.760748727929608,4.294362628963956,0.7435252112039046,37548.734042553195,66.91328017943803,2.917286979274392,0.048934170758243016,3.8046713906017535,2.6903426253398304,0.7064116525908369,6225_8114,0.5,0.0,0.5,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,35896.87765957447,67.62302457950605,3.0422350487259697,0.04781153140142455,4.78271005926568,3.4923526271518934,0.7249684318973708,10.48840559742307,-1.3375906470795442,0
29,1,35266.621052631584,67.90060323636055,3.3473526911945144,0.04972842604671501,5.9569718024994875,4.4857587453252625,0.7509657172272316,38835.231578947365,66.98566898616123,3.092839107993198,0.048585212931938335,3.8899286197526894,2.7765328371934217,0.7128944436569002,6225_8114,0.0,0.0,0.0,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,37050.926315789475,67.44313611126088,3.220095899593856,0.049156819489326674,4.923450211126088,3.631145791259342,0.7319300804420659,10.520048632187388,-1.3375906470795442,0
30,2,36074.02127659576,67.88107521531866,3.4007665379189924,0.05044890115661913,6.124297925619199,4.550711641315343,0.7415036253082954,39816.82795698925,67.12940360021052,2.8771920991022952,0.04310460531754995,4.002329182952061,2.8229362708042984,0.7044630762748272,6225_8114,0.5,0.5,0.0,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,37945.4246167925,67.50523940776459,3.1389793185106436,0.04677675323708454,5.06331355428563,3.6868239560598206,0.7229833507915613,10.54390421209804,-1.3375906470795442,0
31,3,36173.833333333336,67.92602808935786,3.2061663631313415,0.047738374966624274,6.181113268292863,4.469460319974421,0.7213234414642454,39761.022222222215,67.10169684461319,2.8693372826137686,0.04313202590495183,4.068418976013732,2.7676153207681797,0.6802918299107485,6225_8114,0.0,0.0,0.0,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,37967.427777777775,67.51386246698553,3.037751822872555,0.04543520043578805,5.124766122153298,3.6185378203713006,0.700807635687497,10.544483907390928,-1.3375906470795442,0
32,4,38439.478723404245,68.06477251976544,3.0705120826657764,0.045281072206320105,6.400585652210263,4.264658126587959,0.6662398043503539,42083.54255319149,67.25500307516553,2.6773966895214847,0.03994261040407807,4.228853429686292,2.6922008539168893,0.6369400742141361,6225_8114,0.0,0.0,0.0,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,40261.51063829787,67.65988779746549,2.8739543860936303,0.042611841305199086,5.3147195409482775,3.4784294902524238,0.6515899392822451,10.603151220553878,-1.3375906470795442,0
33,5,30312.054347826088,69.69402218847246,2.6788475235108686,0.038671857583402,4.5397030609138245,2.8751038645001303,0.6318511543213144,32644.08695652174,68.81656029910931,2.2938054789178075,0.033443210933517695,3.161353766011498,1.9262225424513943,0.6054088272944781,6225_8114,0.0,0.0,0.0,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,31478.070652173912,69.25529124379088,2.486326501214338,0.036057534258459846,3.850528413462661,2.4006632034757622,0.6186299908078963,10.357046412602767,-1.3375906470795442,0
34,6,24127.919540229886,70.41122618549406,2.8437207967987037,0.04046884415448762,3.446561124771697,2.341591380665967,0.678743207271247,25859.988372093023,69.66796658243766,2.5104547034368,0.036182542893495,2.4751968689006176,1.6525288975321908,0.6658983886246219,6225_8114,0.0,0.0,0.0,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,24993.953956161455,70.03959638396586,2.677087750117752,0.03832569352399131,2.9608789968361573,1.9970601390990788,0.6723207979479344,10.126389232848364,-1.3375906470795442,0
35,0,71766.29787234042,66.35722486850177,2.29411487034094,0.03474270980883909,4.015770454225468,2.8952072232344754,0.7163730069990915,77971.24175824175,63.88326264141241,2.3629659723515086,0.03713229522368048,3.369770144134196,2.486750602368433,0.731341373334019,6227_8355,3.0,2.5,0.5,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,74868.76981529109,65.12024375495709,2.3285404213462244,0.03593750251625978,3.692770299179832,2.6909789128014543,0.7238571901665553,11.223492124146654,-1.192684567877633,2
36,1,73583.46875,65.9788990382328,2.755521376257524,0.04205171148974096,4.1734331158797175,3.1679467228660383,0.7495908867286585,79724.42105263157,63.38761419778331,2.8215461877544343,0.044867780479077066,3.5594084376871065,2.7730925082902265,0.7665602544532724,6227_8355,1.0,0.5,0.5,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,76653.94490131579,64.68325661800804,2.7885337820059792,0.043459745984409014,3.866420776783412,2.9705196155781324,0.7580755705909654,11.247056349398516,-1.192684567877633,2
37,2,74424.21052631579,65.857072971653,2.8837829307862246,0.044155254646151935,4.278401844584817,3.2295437970724445,0.7430164420802376,79986.34736842105,63.37951344790505,2.7579504003127444,0.04382834053273408,3.6145925788580073,2.7400029602889235,0.7465753139861686,6227_8355,1.5,1.0,0.5,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,77205.27894736841,64.61829320977903,2.8208666655494845,0.04399179758944301,3.946497211721412,2.984773378680684,0.7447958780332031,11.254223113822311,-1.192684567877633,2
38,3,75087.98888888888,66.01732924712458,2.358814835145153,0.03595539367014754,4.264162156538323,3.008238266142009,0.6996023173035457,81307.10112359551,63.488787406067495,2.4801745506825688,0.03924556821264731,3.6180287788744576,2.6161730829574794,0.7155778641244318,6227_8355,2.5,2.0,0.5,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,78197.5450062422,64.75305832659603,2.4194946929138608,0.037600480941397424,3.9410954677063907,2.812205674549744,0.7075900907139887,11.266993532258539,-1.192684567877633,2
39,4,76279.77659574468,66.16585090285818,2.399609029013505,0.03658098933976517,4.277003032399322,2.809497628303516,0.6535498692089801,81801.27659574468,63.61780230850804,2.336117786416487,0.036908404618758536,3.5663110251944827,2.38699147265926,0.6667327748880744,6227_8355,2.5,2.0,0.5,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,79040.52659574468,64.89182660568311,2.367863407714996,0.03674469697926185,3.9216570287969024,2.598244550481388,0.6601413220485273,11.27771599479511,-1.192684567877633,2
