,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
20,36775.548136645964,67.6711383603424,2.75228013871727,0.04200170400387319,3.6751247686923447,2.485525027532203,0.6734568925239265,38428.778816199374,65.51614640319735,2.626564126742854,0.04035218606201034,2.703093816810668,1.8705316053681669,0.686823197757934,8114_8152,12.5,9.5,3.0,241,2,2,1,241,1,241,0,1,240,2,408,E West Expy E,E,Freeway,0.5765476459619999,0.0,8114,8152,E,2,65863,6,408,60500,65863,65,55,65.0,0.00945308858353,1,37602.16347642267,66.59364238176988,2.689422132730062,0.04117694503294177,3.1891092927515063,2.178028316450185,0.6801400451409303,10.534816866989226,-0.5506972957462031,1
21,38486.03549382716,70.33438707653082,2.7427701190720697,0.03921902120761511,2.6107051528290546,1.995283967793153,0.7489041636085982,72604.63312693499,64.93638004914425,2.9227843942629192,0.045384311567769606,3.038055156200937,2.391760687395297,0.767978919588897,8144_8146,9.0,6.5,2.5,242,2,3,1,242,1,242,0,1,241,3,408,E West Expy E,E,Freeway,0.794468178966,0.0,8144,8146,E,2,65863,4,408,73500,65863,65,77,65.0,0.0130467443582,1,55545.33431038108,67.63538356283753,2.8327772566674945,0.04230166638769236,2.824380154514996,2.193522327594225,0.7584415415987475,10.924954800728129,-0.23008234545503217,0
22,72604.63312693499,64.93638004914425,2.9227843942629192,0.045384311567769606,3.038055156200937,2.391760687395297,0.767978919588897,40410.46655791192,68.99112266973928,3.115532460116057,0.04554068522515349,2.6562672399410663,2.2460428225519147,0.8172418815819463,8146_6068,5.0,4.0,1.0,245,2,6,1,245,1,245,0,1,244,6,408,E West Expy E,E,Freeway,0.252243134747,0.0,8146,6068,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041325401507100006,1,56507.549842423454,66.96375135944177,3.0191584271894882,0.04546249839646155,2.8471611980710017,2.3189017549736057,0.7926104005854216,10.942129533737056,-1.3773618361861761,1
23,38428.778816199374,65.51614640319735,2.626564126742854,0.04035218606201034,2.703093816810668,1.8705316053681669,0.686823197757934,38514.47589424573,65.71550876714412,2.6143964259816594,0.04001801117691112,2.857267610831018,2.1068259056311924,0.7287289967066609,8152_8154,1.0,0.5,0.5,244,2,5,1,244,1,244,0,1,243,5,408,E West Expy E,E,Freeway,0.19067652346500005,0.0,8152,8154,E,2,65863,6,408,73500,65863,65,77,65.0,0.00312739818786,1,38471.62735522255,65.61582758517073,2.6204802763622568,0.04018509861946073,2.780180713820843,1.9886787554996797,0.7077760972322975,10.557676296781,-1.657176881111911,1
24,41409.989130434784,66.07719860469251,3.8322606725233634,0.05880773222943704,2.6192775993904265,2.354661437254355,0.8506718834775175,45143.71955128205,59.32165587830202,3.647102820721505,0.06218580213211935,2.5323571876426167,2.2116463705600373,0.8219590778697295,8205_6294,17.5,14.0,3.5,249,2,10,1,249,1,249,0,1,248,10,408,E West Expy E,E,Freeway,0.654533766357,0.0,8205,6294,E,2,65863,6,408,66500,65863,65,65,65.0,0.0107680165062,1,43276.854340858416,62.69942724149726,3.739681746622434,0.06049676718077819,2.5758173935165214,2.283153903907196,0.8363154806736235,10.67537322929063,-0.42383210389038156,1
25,40804.271317829465,66.50147146155778,3.06904464044952,0.046627462079053536,3.337084271033255,2.7299574119371246,0.7860404255476933,41409.989130434784,66.07719860469251,3.8322606725233634,0.05880773222943704,2.6192775993904265,2.354661437254355,0.8506718834775175,8208_8205,9.5,8.5,1.0,248,2,9,1,248,1,248,0,1,247,9,408,E West Expy E,E,Freeway,0.492966891604,0.0,8208,8205,N,3,65863,6,435,35610,65863,65,110,65.0,0.00803485256424,1,41107.130224132125,66.28933503312516,3.450652656486442,0.05271759715424529,2.9781809352118405,2.54230942459574,0.8183561545126055,10.623936870209654,-0.7073132641844366,1
26,49485.199066874025,58.67756102693736,6.668109617585232,0.11697287721086355,4.821348742021348,4.926559014191018,0.9331864911359152,42546.085007727976,63.24042445246328,7.817504448253567,0.12732480599074694,4.950200508818928,5.097401567351418,0.9409047415605578,8213_8169,14.0,7.0,7.0,259,2,20,1,259,1,259,0,1,258,20,408,E West Expy E,E,Freeway,0.282358229389,0.0,8213,8169,E,2,65863,6,408,84500,65863,55,71,55.0,0.0044210546512200005,1,46015.642037301004,60.95899273970032,7.2428070329194,0.12214884160080525,4.885774625420138,5.011980290771218,0.9370456163482366,10.736736661958428,-1.2645786972317163,1
27,48443.621913580246,59.31455849595104,8.827749229335087,0.15380680723070386,5.440701260627883,5.968104022933247,0.999628482199856,49773.462962962956,57.15617636067064,9.290658632252477,0.16888421448804478,5.815981816111381,6.2842180915220585,0.9810101542858916,8242_8248,7.5,6.0,1.5,256,2,17,1,256,1,256,0,1,255,17,408,E West Expy E,E,Freeway,0.265859066452,0.0,8242,8248,S,3,65863,4,17,35500,65863,55,131,55.0,0.00437326939294,1,49108.5424382716,58.23536742831084,9.059203930793782,0.16134551085937432,5.628341538369632,6.126161057227653,0.9903193182428738,10.801788279062638,-1.3247889359759157,0
28,49773.462962962956,57.15617636067064,9.290658632252477,0.16888421448804478,5.815981816111381,6.2842180915220585,0.9810101542858916,25989.165094339623,57.14265688426761,9.64680472184742,0.17494424844352086,9.525603205816694,5.326783634253394,0.7486668391314442,8248_8267,18.0,11.0,7.0,255,2,16,1,255,1,255,0,1,254,16,408,E West Expy E,E,Freeway,0.211098484251,0.0,8248,8267,E,2,65863,6,408,85500,65863,55,95,55.0,0.0034724618233600004,1,37881.31402865129,57.149416622469126,9.468731677049949,0.17191423146578283,7.670792510964038,5.805500862887726,0.8648384967086679,10.542213235944695,-1.555430504395232,1
29,25989.165094339623,57.14265688426761,9.64680472184742,0.17494424844352086,9.525603205816694,5.326783634253394,0.7486668391314442,61284.54743390357,54.59369436098503,9.864327808226284,0.18838654361121854,6.041824175231374,6.306628728416581,0.9582071074734226,8267_6679,21.0,13.5,7.5,254,2,15,1,254,1,254,0,1,253,15,408,E West Expy E,E,Freeway,0.226706669041,0.0,8267,6679,E,2,65863,6,408,87957,65863,55,79,55.0,0.00372922319199,1,43636.8562641216,55.868175622626325,9.755566265036851,0.1816653960273697,7.783713690524034,5.816706181334988,0.8534369733024334,10.683657399408098,-1.48409830398781,1
30,114854.8203125,63.460004679319724,2.237854077528,0.03567140966360908,3.6914588324546806,2.278417474542966,0.6043972034425611,34429.52713178295,63.380730309114895,3.076108602216966,0.04912634598641448,1.780440010449593,1.2312102383468262,0.6940085638537042,8305_8315,10.0,7.5,2.5,265,2,26,1,265,1,265,0,1,264,26,408,E West Expy E,E,Freeway,0.4136987489,0.0,8305,8315,E,2,65863,9,408,93000,65863,55,135,55.0,0.00678774805983,1,74642.17372214148,63.42036749421731,2.656981339872483,0.04239887782501178,2.735949421452137,1.754813856444896,0.6492028836481327,11.220460957848259,-0.8826172296914494,2
31,69859.90247678019,62.03054599367931,2.2839414084649854,0.03716935662234275,4.330497266616476,2.6144401930210304,0.5915850560940306,114854.8203125,63.460004679319724,2.237854077528,0.03567140966360908,3.6914588324546806,2.278417474542966,0.6043972034425611,8307_8305,8.0,5.5,2.5,264,2,25,1,264,1,264,0,1,263,25,408,E West Expy E,E,Freeway,0.344094433515,0.0,8307,8305,E,2,65863,6,408,93000,65863,55,92,55.0,0.005659939656060001,1,92357.36139464009,62.74527533649952,2.2608977429964927,0.03642038314297591,4.010978049535578,2.446428833781998,0.5979911297682958,11.43342069435787,-1.0668391432493936,1
