,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
20,20,2732.287878787879,64.68294183310418,1.200409563520645,0.01862397695964688,2.0096755811158173,0.3534074660800753,0.1789603833623845,1309.5021459227466,62.237438973017,1.90703947659928,0.030700141250057583,2.760754049656964,0.4641583943719639,0.1703164385386538,8581_7010,1.0,1.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
21,21,2500.812095032397,64.6705868449325,1.0850482136386692,0.016810799517667247,1.8529577633387249,0.3313372692564344,0.18336516594744234,1216.2334047109207,62.25019410106306,1.9792465599632851,0.03225679338902017,2.7180099274841094,0.4915205103733507,0.18016264289451167,8581_7010,1.0,1.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
22,22,2314.0842332613393,64.62856797222557,1.1398593506688683,0.017682625308591868,1.7417421907981232,0.3446490908676981,0.2053811446906192,1117.4197002141327,62.472060329425624,1.998335571895416,0.03281191512201508,2.596466932537295,0.5285205901019737,0.1947161058698792,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
23,23,2073.719222462203,64.91964155648758,1.2170252084561477,0.01876531561175715,1.5805809847352803,0.32972585787200365,0.21723605886921574,1016.7087794432547,63.43259871458865,1.9849909354536488,0.03141549381580517,2.335089219347104,0.4686670812211242,0.20177973463835425,8581_7010,2.0,0.0,2.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
24,0,572.4206008583691,64.95443367454286,2.3692204819222304,0.03664205982225546,1.4047543943253666,0.4239657653903999,0.3041116684825223,592.9849462365593,65.95053875186944,2.0386789332309254,0.031043035235564675,1.30085872112754,0.40580533610492137,0.314942106974168,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
25,1,288.75321888412014,65.60290986164134,2.8408825091235594,0.043445191199916716,0.8319132240354495,0.3297997862163778,0.4089780831318105,306.8709677419355,66.82859814468688,2.543509602602545,0.038056283042477934,0.7157269875683849,0.2837736336619033,0.4151366945990996,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
26,2,186.51502145922746,65.92589769984495,3.323774126369284,0.050556512425331705,0.6922250090453108,0.33498526807736123,0.5009717124506669,201.07956989247313,67.29443004645701,2.9190564762228592,0.04342069615579955,0.570878086767872,0.2791641958427099,0.5116353284383515,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
27,3,194.4678111587983,64.9952112017489,3.2016576854871133,0.04946879271540945,0.7339997369211899,0.3391104043225442,0.4750166685542413,206.67956989247315,66.53121437121887,2.8029261825665577,0.04220980805877503,0.6203952855520959,0.2903870791512245,0.4839021541202699,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
28,4,356.1909871244635,64.65292461994942,2.580146358807396,0.040065647031995236,0.9832290650092662,0.3444988602700415,0.3584012762340125,365.10967741935485,66.25125691960372,2.1251510165360536,0.03214128309674598,0.8772968862081769,0.31317534196527025,0.36526687281859904,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
29,5,702.0793991416309,65.05241322715875,1.9949555435488224,0.03074412347421948,1.8074941744551862,0.5141511607662239,0.28707756547468,696.4924731182796,66.22190395750206,1.7030228143634742,0.025754260460056137,1.7200294443708417,0.5085260944643611,0.29609021713544303,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
