,period,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
20,0,17078.84434968017,66.04699239493497,2.082817030620648,0.03174921955407017,1.872134188033844,1.5091239010026176,0.811951692971164,18165.394396551725,64.24063693438315,2.044758598477918,0.031902646435883066,1.5598518511951118,1.2282443010244153,0.7931817020661156,6227_8355,4.0,2.5,1.5,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,17622.119373115947,65.14381466465906,2.063787814549283,0.031825932994976616,1.715993019614478,1.3686841010135165,0.8025666975186398,9.776910174499518,-1.192684567877633,2
21,1,10436.32264957265,66.92422268439485,1.213524596101843,0.0186286859854164,4.816348141020661,1.3309153223687882,0.2760128548341025,11263.294759825327,64.11763242159522,1.384158457217152,0.021794598911723514,4.014919864320419,1.1535607330399438,0.2881986914697912,6227_8355,1.0,1.0,0.0,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,10849.80870469899,65.52092755299503,1.2988415266594975,0.020211642448569957,4.41563400267054,1.2422380277043659,0.28210577315194685,9.29190272790986,-1.192684567877633,2
22,2,19707.739872068232,63.9602615890203,3.0027353747292693,0.05083163838684706,9.469941584911739,2.1438807901115395,0.2087868414272136,21818.409978308027,60.906330839496825,2.9503216982203457,0.05197081759255087,8.128696753723622,2.0089766434465246,0.22785182656238115,6227_8355,4.0,3.0,1.0,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,20763.074925188128,62.43329621425856,2.9765285364748078,0.05140122798969897,8.79931916931768,2.076428716779032,0.21831933399479736,9.940931444095098,-1.192684567877633,2
23,3,27018.02985074627,66.65149403814085,1.4357011016488106,0.0217844887771116,5.335593455671957,1.2527919178229463,0.2343458590287163,29261.20734341253,63.37059591589088,1.4829702077855726,0.023633978852226824,4.4869417777284415,1.0829114300524605,0.23918945125088675,6227_8355,1.5,1.5,0.0,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,28139.6185970794,65.01104497701587,1.4593356547171916,0.02270923381466921,4.911267616700199,1.1678516739377034,0.23676765513980152,10.244933776812468,-1.192684567877633,2
24,0,14487.356076759062,68.25912978999864,2.020156654410377,0.029782495123495963,1.8604947410105053,1.6261293298580994,0.8662888944559984,15518.948827292112,67.20313500778205,1.9999956299366044,0.02994277813857552,1.8010736599820734,1.476119618497882,0.8150232608817289,6235_6881,1.5,0.5,1.0,279,2,40,1,279,1,279,0,1,278,40,408,E West Expy E,E,Freeway,0.338968050653,0.0,6235,6881,E,2,65863,8,408,128500,65863,65,63,65.0,0.005576080111539999,1,15003.152452025588,67.73113239889034,2.0100761421734905,0.029862636631035742,1.8307842004962893,1.5511244741779908,0.8406560776688636,9.616015621471472,-1.0818494219044639,2
25,1,8667.767094017094,67.88710881491876,1.3715253835355945,0.02038449625665095,4.7522527871000495,1.4907102581268048,0.31419329762288306,9627.504273504272,66.44465480475755,1.4214837579129267,0.02150182208979157,4.6348422153042055,1.4254492214878922,0.30676184929516176,6235_6881,2.0,1.5,0.5,279,2,40,1,279,1,279,0,1,278,40,408,E West Expy E,E,Freeway,0.338968050653,0.0,6235,6881,E,2,65863,8,408,128500,65863,65,63,65.0,0.005576080111539999,1,9147.635683760684,67.16588180983815,1.3965045707242605,0.02094315917322126,4.6935475012021275,1.4580797398073484,0.3104775734590224,9.121250729662359,-1.0818494219044639,2
26,2,18358.737739872067,62.70426858252971,4.9649704883673405,0.08535217074248018,11.319722253144619,3.172588432967792,0.2626317373323608,19662.80170575693,61.46502698632763,4.3751839994502015,0.07512659321670652,10.189648699509636,2.6626903608183845,0.2483430801902167,6235_6881,0.0,0.0,0.0,279,2,40,1,279,1,279,0,1,278,40,408,E West Expy E,E,Freeway,0.338968050653,0.0,6235,6881,E,2,65863,8,408,128500,65863,65,63,65.0,0.005576080111539999,1,19010.769722814497,62.08464778442867,4.670077243908771,0.08023938197959335,10.754685476327127,2.9176393968930885,0.2554874087612887,9.852760925079094,-1.0818494219044639,2
27,3,22836.84648187633,67.65707381153616,1.6977476100319098,0.02527449487502317,5.432889065632153,1.5330405888102052,0.2801847423223231,24912.771855010666,66.0999852546727,1.6998239305299236,0.025901864037736533,5.1326877207535535,1.2999677539842267,0.2526744362251853,6235_6881,3.0,2.5,0.5,279,2,40,1,279,1,279,0,1,278,40,408,E West Expy E,E,Freeway,0.338968050653,0.0,6235,6881,E,2,65863,8,408,128500,65863,65,63,65.0,0.005576080111539999,1,23874.8091684435,66.87852953310443,1.6987857702809168,0.025588179456379853,5.282788393192853,1.416504171397216,0.2664295892737542,10.080579172372213,-1.0818494219044639,2
28,0,6436.545842217484,63.96737861496679,4.465804809441712,0.07683441760426102,3.008971571085452,2.7077449114165097,0.9060678507941636,6955.781584582442,63.439796035655014,3.1958506875220842,0.051282496618920016,2.178480082758377,1.81770635387752,0.8310847381789279,6269_8009,2.5,1.0,1.5,287,2,48,1,287,1,287,0,1,286,48,408,E West Expy E,E,Freeway,0.34751609822400004,0.0,6269,8009,E,2,65863,4,408,82794,65863,65,55,65.0,0.005716646731470001,1,6696.163713399963,63.703587325310906,3.830827748481898,0.06405845711159051,2.5937258269219146,2.262725632647015,0.8685762944865458,8.80929006130292,-1.0569442892258376,0
29,1,4790.142241379311,63.88167514514492,2.9019524476042564,0.0490189436503743,7.904566873138,3.1099089512624882,0.398776252158452,5218.473002159827,63.17004534555648,1.916657039844584,0.030542718629975683,5.460852227980057,1.9605676415226925,0.3561278064332501,6269_8009,0.5,0.5,0.0,287,2,48,1,287,1,287,0,1,286,48,408,E West Expy E,E,Freeway,0.34751609822400004,0.0,6269,8009,E,2,65863,4,408,82794,65863,65,55,65.0,0.005716646731470001,1,5004.307621769569,63.5258602453507,2.4093047437244204,0.03978083114017499,6.682709550559029,2.53523829639259,0.3774520292958511,8.518054344871056,-1.0569442892258376,0
