,day,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId
1129,2,23868.892473118278,68.99067972686726,2.4667882017096967,0.03585354435984017,2.5497572156142274,1.7343194289448913,0.678507441570723,24247.436170212764,73.57300873475981,2.326342127927912,0.03165157174272063,3.2979446257540905,2.297564758663229,0.6954494311049008,6969_6859
1130,3,24460.61797752809,68.79561203168527,2.4560759171196582,0.03585728726071361,2.6488555692950895,1.8058587134818334,0.6792445677459922,25076.898876404495,73.60596356581858,2.2721550414357883,0.03090037643261687,3.415874535699393,2.35845720546343,0.6904084425467908,6969_6859
1131,4,27774.36559139785,68.56938731660107,2.6010948319464675,0.03802874320012355,2.9403960285422563,2.0451537605674996,0.6897124440920914,28568.301075268817,73.46084722960617,2.616736684428907,0.03575222030271989,3.880301404276103,2.749987505596866,0.7019909987554854,6969_6859
1132,5,22565.444444444445,67.643673130147,7.565019789474916,-0.025211311725727815,2.151499950942666,1.4500344612272689,0.6715683923424772,23411.08695652174,74.79845812002985,2.3011048049103446,0.030786620421293927,2.74453549676034,1.8475065307015526,0.6745277162258388,6969_6859
1133,6,17028.731707317074,69.91843201135372,2.8074669864825674,0.04035284893986442,1.5266234818048205,1.1851746761647266,0.7730470644438073,17559.666666666668,75.09519835916424,2.647396628678656,0.03531595818514164,1.9419944285286292,1.5002168482659866,0.773313308764245,6969_6859
1134,0,23277.21505376344,69.2414065915921,2.7716007190144714,0.040068939907113806,2.101040500860643,1.4170843062226424,0.6769584429625587,21659.456521739132,68.24046206723858,6.598060514820746,-1.4557283909337146,2.41513626785767,1.682292091714855,0.7000155045704816,6759_6969
1135,1,23500.625,69.48864964062973,2.9284589966170906,0.04222767407555261,2.197892862845356,1.4747408805126645,0.6727787591864933,22614.62365591398,68.39926836921698,9.930232505708856,0.24648287404111063,2.488584626973439,1.7445457364470796,0.7014019142695853,6759_6969
1136,2,24347.663157894738,69.27526043818845,2.9552403212685405,0.042752692764625434,2.257504132752585,1.5022174930186891,0.6640669049743548,23868.892473118278,68.99067972686726,2.4667882017096967,0.03585354435984017,2.5497572156142274,1.7343194289448913,0.678507441570723,6759_6969
1137,3,25149.32222222222,68.87887450110703,3.010001396479158,0.044014324551256506,2.294767043080564,1.5300552263931428,0.6627414104378501,24460.61797752809,68.79561203168527,2.4560759171196582,0.03585728726071361,2.6488555692950895,1.8058587134818334,0.6792445677459922,6759_6969
1138,4,28697.68085106383,68.19777903883839,3.267618380965303,0.048100009441554924,2.4469816283993144,1.6157454434076897,0.6569534829637347,27774.36559139785,68.56938731660107,2.6010948319464675,0.03802874320012355,2.9403960285422563,2.0451537605674996,0.6897124440920914,6759_6969
1139,5,23535.521739130436,68.65036333257282,3.176380748574726,0.04761426697496617,1.7743438320827376,1.1935235885087287,0.6417413670655626,22565.444444444445,67.643673130147,7.565019789474916,-0.025211311725727815,2.151499950942666,1.4500344612272689,0.6715683923424772,6759_6969
1140,6,17430.081395348836,69.4544038541264,3.55404359715603,0.05228317968955456,1.2876952845637828,1.004965968671394,0.7372804667675709,17028.731707317074,69.91843201135372,2.8074669864825674,0.04035284893986442,1.5266234818048205,1.1851746761647266,0.7730470644438073,6759_6969
1141,0,23263.43956043956,73.79130538971953,2.259853083253145,0.030651026256103716,3.2277455213419812,2.3010011306357945,0.7147468441071866,23277.21505376344,69.2414065915921,2.7716007190144714,0.040068939907113806,2.101040500860643,1.4170843062226424,0.6769584429625587,6233_6759
1142,1,23568.075268817203,73.64316332664094,2.45871165429027,0.033468415789056793,3.2900807051639873,2.363155485917692,0.7182383008338219,23500.625,69.48864964062973,2.9284589966170906,0.04222767407555261,2.197892862845356,1.4747408805126645,0.6727787591864933,6233_6759
1143,2,24296.097826086956,73.53930073075311,2.5626703057116558,0.03508851309125061,3.450563311137742,2.4952682224642477,0.7145247866705554,24347.663157894738,69.27526043818845,2.9552403212685405,0.042752692764625434,2.257504132752585,1.5022174930186891,0.6640669049743548,6233_6759
1144,3,25123.20930232558,73.66266845022467,2.275103033289777,0.030941467150835025,3.5234243035920496,2.467798652472602,0.6989711473640043,25149.32222222222,68.87887450110703,3.010001396479158,0.044014324551256506,2.294767043080564,1.5300552263931428,0.6627414104378501,6233_6759
